"id","student_name","admission_date","major","gpa","email","phone","address","city","state","zip_code","country","enrollment_status","tuition_paid","scholarship","date_of_birth","emergency_contact","emergency_phone","academic_advisor","graduation_year","last_updated"
30,"Student 30","2024-10-08","Computer Science","3.58","student30@example.com","(371) 285-5105","30 Main St","New York","NY","43883","USA","Full-Time","6355.65",True,"1995-11-15","Contact 30","(969) 583-1583","Advisor 1",2026,"2025-08-20 00:13:10.943657"
31,"Student 31","2025-03-27","Mathematics","1.79","student31@example.com","(877) 614-5004","31 Main St","Los Angeles","CA","03072","USA","Part-Time","4228.35",False,"1995-12-24","Contact 31","(836) 112-7727","Advisor 2",2027,"2025-08-20 00:13:10.943657"
32,"Student 32","2025-04-05","Physics","2.59","student32@example.com","(213) 502-0222","32 Main St","Chicago","IL","06336","USA","On-Leave","34892.06",False,"1995-08-12","Contact 32","(775) 324-8532","Advisor 3",2024,"2025-08-20 00:13:10.943657"
33,"Student 33","2024-09-03","Biology","2.05","student33@example.com","(976) 445-0563","33 Main St","Houston","TX","46067","USA","Full-Time","14540.55",False,"1995-03-04","Contact 33","(599) 610-3298","Advisor 4",2025,"2025-08-20 00:13:10.943657"
34,"Student 34","2025-03-22","History","0.25","student34@example.com","(966) 309-8693","34 Main St","Phoenix","AZ","01030","USA","Part-Time","22945.36",False,"1995-03-05","Contact 34","(869) 878-7638","Advisor 5",2026,"2025-08-20 00:13:10.943657"
35,"Student 35","2024-11-09","Computer Science","0.97","student35@example.com","(280) 655-1419","35 Main St","New York","NY","64789","USA","On-Leave","35543.06",True,"1995-02-19","Contact 35","(543) 426-6795","Advisor 6",2027,"2025-08-20 00:13:10.943657"
36,"Student 36","2024-09-18","Mathematics","3.98","student36@example.com","(210) 353-8050","36 Main St","Los Angeles","CA","44270","USA","Full-Time","28103.27",False,"1995-01-05","Contact 36","(174) 711-7441","Advisor 7",2024,"2025-08-20 00:13:10.943657"
37,"Student 37","2025-06-02","Physics","0.83","student37@example.com","(666) 916-2226","37 Main St","Chicago","IL","89809","USA","Part-Time","42782.87",False,"1995-08-21","Contact 37","(538) 563-8184","Advisor 8",2025,"2025-08-20 00:13:10.943657"
38,"Student 38","2025-02-10","Biology","1.01","student38@example.com","(538) 825-1069","38 Main St","Houston","TX","30185","USA","On-Leave","18281.39",False,"1995-09-24","Contact 38","(227) 524-1003","Advisor 9",2026,"2025-08-20 00:13:10.943657"
39,"Student 39","2025-06-16","History","2.85","student39@example.com","(506) 815-5441","39 Main St","Phoenix","AZ","65991","USA","Full-Time","42561.71",False,"1995-07-15","Contact 39","(854) 701-6368","Advisor 10",2027,"2025-08-20 00:13:10.943657"
40,"Student 40","2025-06-23","Computer Science","3.50","student40@example.com","(486) 880-8467","40 Main St","New York","NY","50339","USA","Part-Time","41788.42",True,"1995-09-08","Contact 40","(608) 338-8081","Advisor 1",2024,"2025-08-20 00:13:10.943657"
41,"Student 41","2025-05-28","Mathematics","0.51","student41@example.com","(358) 714-8927","41 Main St","Los Angeles","CA","09880","USA","On-Leave","41554.63",False,"1995-04-20","Contact 41","(619) 622-3040","Advisor 2",2025,"2025-08-20 00:13:10.943657"
42,"Student 42","2024-09-22","Physics","2.28","student42@example.com","(180) 437-5594","42 Main St","Chicago","IL","91050","USA","Full-Time","49703.51",False,"1995-12-08","Contact 42","(223) 676-9441","Advisor 3",2026,"2025-08-20 00:13:10.943657"
43,"Student 43","2024-12-26","Biology","2.80","student43@example.com","(369) 991-0338","43 Main St","Houston","TX","80628","USA","Part-Time","16809.37",False,"1995-03-08","Contact 43","(464) 391-2570","Advisor 4",2027,"2025-08-20 00:13:10.943657"
44,"Student 44","2025-07-16","History","0.41","student44@example.com","(867) 192-2745","44 Main St","Phoenix","AZ","04615","USA","On-Leave","46856.32",False,"1995-06-10","Contact 44","(117) 521-2607","Advisor 5",2024,"2025-08-20 00:13:10.943657"
45,"Student 45","2025-03-24","Computer Science","2.02","student45@example.com","(708) 369-3887","45 Main St","New York","NY","51293","USA","Full-Time","13185.82",True,"1995-04-23","Contact 45","(623) 153-6505","Advisor 6",2025,"2025-08-20 00:13:10.943657"
46,"Student 46","2024-09-04","Mathematics","2.49","student46@example.com","(978) 122-0945","46 Main St","Los Angeles","CA","52105","USA","Part-Time","13786.04",False,"1995-03-28","Contact 46","(187) 437-9526","Advisor 7",2026,"2025-08-20 00:13:10.943657"
47,"Student 47","2024-11-08","Physics","0.84","student47@example.com","(371) 374-4541","47 Main St","Chicago","IL","29768","USA","On-Leave","35423.50",False,"1995-05-10","Contact 47","(591) 639-8664","Advisor 8",2027,"2025-08-20 00:13:10.943657"
48,"Student 48","2024-12-24","Biology","3.25","student48@example.com","(778) 839-9721","48 Main St","Houston","TX","54788","USA","Full-Time","14291.85",False,"1995-02-04","Contact 48","(787) 215-4927","Advisor 9",2024,"2025-08-20 00:13:10.943657"
49,"Student 49","2024-12-29","History","1.14","student49@example.com","(597) 793-8035","49 Main St","Phoenix","AZ","88996","USA","Part-Time","12202.28",False,"1995-09-14","Contact 49","(776) 853-9268","Advisor 10",2025,"2025-08-20 00:13:10.943657"
50,"Student 50","2025-03-06","Computer Science","2.12","student50@example.com","(589) 397-8031","50 Main St","New York","NY","72584","USA","On-Leave","28595.89",True,"1995-06-21","Contact 50","(295) 604-1101","Advisor 1",2026,"2025-08-20 00:13:10.943657"
51,"Student 51","2025-02-18","Mathematics","3.51","student51@example.com","(229) 501-6580","51 Main St","Los Angeles","CA","64133","USA","Full-Time","33899.11",False,"1995-08-25","Contact 51","(520) 306-2125","Advisor 2",2027,"2025-08-20 00:13:10.943657"
52,"Student 52","2024-09-12","Physics","2.14","student52@example.com","(774) 918-1386","52 Main St","Chicago","IL","84716","USA","Part-Time","32770.56",False,"1995-07-26","Contact 52","(779) 920-7848","Advisor 3",2024,"2025-08-20 00:13:10.943657"
53,"Student 53","2024-12-18","Biology","3.67","student53@example.com","(675) 450-5657","53 Main St","Houston","TX","15519","USA","On-Leave","17094.54",False,"1995-08-25","Contact 53","(805) 659-0829","Advisor 4",2025,"2025-08-20 00:13:10.943657"
54,"Student 54","2024-11-28","History","2.27","student54@example.com","(251) 810-7995","54 Main St","Phoenix","AZ","10617","USA","Full-Time","6600.33",False,"1995-04-29","Contact 54","(843) 278-0543","Advisor 5",2026,"2025-08-20 00:13:10.943657"
55,"Student 55","2024-08-22","Computer Science","3.22","student55@example.com","(973) 446-3549","55 Main St","New York","NY","13302","USA","Part-Time","48164.93",True,"1995-10-26","Contact 55","(885) 480-2801","Advisor 6",2027,"2025-08-20 00:13:10.943657"
56,"Student 56","2024-10-27","Mathematics","3.86","student56@example.com","(893) 447-6045","56 Main St","Los Angeles","CA","45129","USA","On-Leave","43983.04",False,"1995-03-24","Contact 56","(230) 655-1706","Advisor 7",2024,"2025-08-20 00:13:10.943657"
57,"Student 57","2024-09-08","Physics","3.38","student57@example.com","(895) 463-9546","57 Main St","Chicago","IL","81110","USA","Full-Time","8458.79",False,"1995-01-04","Contact 57","(530) 125-9988","Advisor 8",2025,"2025-08-20 00:13:10.943657"
58,"Student 58","2024-12-07","Biology","3.41","student58@example.com","(774) 374-6402","58 Main St","Houston","TX","24295","USA","Part-Time","40986.54",False,"1995-03-21","Contact 58","(308) 743-6183","Advisor 9",2026,"2025-08-20 00:13:10.943657"
59,"Student 59","2025-03-14","History","2.33","student59@example.com","(568) 411-1727","59 Main St","Phoenix","AZ","46459","USA","On-Leave","6521.84",False,"1995-09-20","Contact 59","(207) 679-1217","Advisor 10",2027,"2025-08-20 00:13:10.943657"
60,"Student 60","2024-12-04","Computer Science","3.76","student60@example.com","(658) 108-7475","60 Main St","New York","NY","64110","USA","Full-Time","41276.88",True,"1995-07-30","Contact 60","(935) 597-9157","Advisor 1",2024,"2025-08-20 00:13:10.943657"
61,"Student 61","2024-12-21","Mathematics","1.21","student61@example.com","(992) 723-1979","61 Main St","Los Angeles","CA","85496","USA","Part-Time","29587.02",False,"1995-08-17","Contact 61","(962) 150-3754","Advisor 2",2025,"2025-08-20 00:13:10.943657"
62,"Student 62","2024-09-11","Physics","0.29","student62@example.com","(638) 846-9471","62 Main St","Chicago","IL","68251","USA","On-Leave","43642.85",False,"1995-06-14","Contact 62","(680) 406-3088","Advisor 3",2026,"2025-08-20 00:13:10.943657"
63,"Student 63","2025-04-27","Biology","1.15","student63@example.com","(721) 923-0967","63 Main St","Houston","TX","65843","USA","Full-Time","27581.91",False,"1995-05-25","Contact 63","(994) 475-1310","Advisor 4",2027,"2025-08-20 00:13:10.943657"
64,"Student 64","2025-07-22","History","1.95","student64@example.com","(375) 872-7282","64 Main St","Phoenix","AZ","15237","USA","Part-Time","8298.80",False,"1995-06-15","Contact 64","(437) 830-6635","Advisor 5",2024,"2025-08-20 00:13:10.943657"
65,"Student 65","2024-12-17","Computer Science","2.22","student65@example.com","(530) 321-1694","65 Main St","New York","NY","03858","USA","On-Leave","39848.94",True,"1995-09-16","Contact 65","(787) 349-4677","Advisor 6",2025,"2025-08-20 00:13:10.943657"
66,"Student 66","2025-05-10","Mathematics","1.31","student66@example.com","(309) 865-1562","66 Main St","Los Angeles","CA","74615","USA","Full-Time","10606.00",False,"1995-10-11","Contact 66","(824) 835-0976","Advisor 7",2026,"2025-08-20 00:13:10.943657"
67,"Student 67","2025-04-11","Physics","2.72","student67@example.com","(276) 147-9577","67 Main St","Chicago","IL","57498","USA","Part-Time","44333.21",False,"1995-03-27","Contact 67","(439) 661-9457","Advisor 8",2027,"2025-08-20 00:13:10.943657"
68,"Student 68","2025-06-26","Biology","2.40","student68@example.com","(240) 967-8448","68 Main St","Houston","TX","76337","USA","On-Leave","4859.05",False,"1995-08-11","Contact 68","(314) 401-8221","Advisor 9",2024,"2025-08-20 00:13:10.943657"
69,"Student 69","2024-12-10","History","0.64","student69@example.com","(721) 370-4469","69 Main St","Phoenix","AZ","66886","USA","Full-Time","17855.15",False,"1995-09-20","Contact 69","(640) 665-5826","Advisor 10",2025,"2025-08-20 00:13:10.943657"
70,"Student 70","2025-01-02","Computer Science","2.84","student70@example.com","(830) 405-4524","70 Main St","New York","NY","51656","USA","Part-Time","10529.99",True,"1995-06-18","Contact 70","(579) 963-9392","Advisor 1",2026,"2025-08-20 00:13:10.943657"
71,"Student 71","2024-09-12","Mathematics","0.02","student71@example.com","(816) 709-8763","71 Main St","Los Angeles","CA","89047","USA","On-Leave","43272.47",False,"1995-12-20","Contact 71","(960) 447-4518","Advisor 2",2027,"2025-08-20 00:13:10.943657"
72,"Student 72","2025-03-16","Physics","3.11","student72@example.com","(440) 308-4129","72 Main St","Chicago","IL","83069","USA","Full-Time","571.63",False,"1995-05-02","Contact 72","(314) 328-3572","Advisor 3",2024,"2025-08-20 00:13:10.943657"
73,"Student 73","2025-07-31","Biology","3.04","student73@example.com","(477) 592-3713","73 Main St","Houston","TX","71220","USA","Part-Time","14862.41",False,"1995-11-08","Contact 73","(470) 258-4748","Advisor 4",2025,"2025-08-20 00:13:10.943657"
74,"Student 74","2024-11-01","History","1.41","student74@example.com","(179) 665-7972","74 Main St","Phoenix","AZ","40203","USA","On-Leave","5062.46",False,"1995-07-13","Contact 74","(286) 476-5167","Advisor 5",2026,"2025-08-20 00:13:10.943657"
75,"Student 75","2024-12-25","Computer Science","2.20","student75@example.com","(924) 294-7855","75 Main St","New York","NY","17169","USA","Full-Time","28195.99",True,"1995-01-23","Contact 75","(924) 760-3976","Advisor 6",2027,"2025-08-20 00:13:10.943657"
76,"Student 76","2024-11-25","Mathematics","3.38","student76@example.com","(576) 836-0602","76 Main St","Los Angeles","CA","79622","USA","Part-Time","6085.31",False,"1995-10-13","Contact 76","(103) 564-3961","Advisor 7",2024,"2025-08-20 00:13:10.943657"
77,"Student 77","2025-06-30","Physics","2.99","student77@example.com","(319) 956-6914","77 Main St","Chicago","IL","62203","USA","On-Leave","1516.90",False,"1995-12-26","Contact 77","(546) 460-5909","Advisor 8",2025,"2025-08-20 00:13:10.943657"
78,"Student 78","2024-10-12","Biology","3.20","student78@example.com","(661) 531-8596","78 Main St","Houston","TX","47375","USA","Full-Time","19154.36",False,"1995-10-15","Contact 78","(128) 843-8085","Advisor 9",2026,"2025-08-20 00:13:10.943657"
79,"Student 79","2025-01-18","History","1.04","student79@example.com","(681) 105-8383","79 Main St","Phoenix","AZ","01395","USA","Part-Time","49164.21",False,"1995-04-25","Contact 79","(972) 321-6040","Advisor 10",2027,"2025-08-20 00:13:10.943657"
80,"Student 80","2025-03-03","Computer Science","2.62","student80@example.com","(819) 499-0319","80 Main St","New York","NY","64422","USA","On-Leave","12458.72",True,"1995-03-30","Contact 80","(502) 790-5315","Advisor 1",2024,"2025-08-20 00:13:10.943657"
81,"Student 81","2025-05-15","Mathematics","3.33","student81@example.com","(760) 840-0340","81 Main St","Los Angeles","CA","46662","USA","Full-Time","19531.45",False,"1995-11-15","Contact 81","(212) 964-8882","Advisor 2",2025,"2025-08-20 00:13:10.943657"
82,"Student 82","2025-05-19","Physics","2.15","student82@example.com","(743) 745-0047","82 Main St","Chicago","IL","47389","USA","Part-Time","22211.14",False,"1995-06-17","Contact 82","(829) 921-3973","Advisor 3",2026,"2025-08-20 00:13:10.943657"
83,"Student 83","2025-03-16","Biology","2.03","student83@example.com","(178) 650-3944","83 Main St","Houston","TX","33303","USA","On-Leave","49577.07",False,"1995-08-07","Contact 83","(870) 759-5489","Advisor 4",2027,"2025-08-20 00:13:10.943657"
84,"Student 84","2025-01-30","History","3.05","student84@example.com","(760) 474-1067","84 Main St","Phoenix","AZ","96781","USA","Full-Time","49671.13",False,"1995-09-18","Contact 84","(316) 565-9702","Advisor 5",2024,"2025-08-20 00:13:10.943657"
85,"Student 85","2025-05-03","Computer Science","2.79","student85@example.com","(229) 402-1749","85 Main St","New York","NY","31425","USA","Part-Time","11817.56",True,"1995-03-29","Contact 85","(720) 600-3202","Advisor 6",2025,"2025-08-20 00:13:10.943657"
86,"Student 86","2025-07-06","Mathematics","3.74","student86@example.com","(286) 374-7497","86 Main St","Los Angeles","CA","62858","USA","On-Leave","49719.34",False,"1995-09-21","Contact 86","(409) 280-6569","Advisor 7",2026,"2025-08-20 00:13:10.943657"
87,"Student 87","2024-08-29","Physics","1.12","student87@example.com","(340) 680-9005","87 Main St","Chicago","IL","83440","USA","Full-Time","9124.77",False,"1995-11-03","Contact 87","(112) 942-9621","Advisor 8",2027,"2025-08-20 00:13:10.943657"
88,"Student 88","2025-07-21","Biology","3.19","student88@example.com","(175) 712-6007","88 Main St","Houston","TX","77384","USA","Part-Time","24417.03",False,"1995-01-05","Contact 88","(549) 692-4113","Advisor 9",2024,"2025-08-20 00:13:10.943657"
89,"Student 89","2025-07-06","History","1.47","student89@example.com","(967) 473-0883","89 Main St","Phoenix","AZ","07216","USA","On-Leave","20949.38",False,"1995-12-18","Contact 89","(209) 538-1295","Advisor 10",2025,"2025-08-20 00:13:10.943657"
90,"Student 90","2025-06-28","Computer Science","2.25","student90@example.com","(180) 775-3009","90 Main St","New York","NY","31254","USA","Full-Time","4396.38",True,"1995-04-09","Contact 90","(521) 690-0130","Advisor 1",2026,"2025-08-20 00:13:10.943657"
91,"Student 91","2024-12-20","Mathematics","1.04","student91@example.com","(119) 110-0387","91 Main St","Los Angeles","CA","54430","USA","Part-Time","41960.34",False,"1995-10-15","Contact 91","(762) 346-6922","Advisor 2",2027,"2025-08-20 00:13:10.943657"
92,"Student 92","2025-06-29","Physics","3.20","student92@example.com","(472) 387-8080","92 Main St","Chicago","IL","60460","USA","On-Leave","12951.21",False,"1995-05-28","Contact 92","(561) 209-3234","Advisor 3",2024,"2025-08-20 00:13:10.943657"
93,"Student 93","2025-05-18","Biology","1.25","student93@example.com","(533) 240-4654","93 Main St","Houston","TX","17765","USA","Full-Time","13531.79",False,"1995-03-10","Contact 93","(272) 748-0232","Advisor 4",2025,"2025-08-20 00:13:10.943657"
94,"Student 94","2025-02-21","History","2.38","student94@example.com","(291) 624-5359","94 Main St","Phoenix","AZ","47393","USA","Part-Time","42560.33",False,"1995-08-26","Contact 94","(218) 763-2796","Advisor 5",2026,"2025-08-20 00:13:10.943657"
95,"Student 95","2024-09-01","Computer Science","1.25","student95@example.com","(591) 673-3014","95 Main St","New York","NY","62299","USA","On-Leave","39416.59",True,"1995-01-25","Contact 95","(830) 982-3382","Advisor 6",2027,"2025-08-20 00:13:10.943657"
96,"Student 96","2024-09-04","Mathematics","3.00","student96@example.com","(627) 582-7897","96 Main St","Los Angeles","CA","58940","USA","Full-Time","13811.53",False,"1995-11-18","Contact 96","(950) 487-0137","Advisor 7",2024,"2025-08-20 00:13:10.943657"
97,"Student 97","2024-12-29","Physics","2.27","student97@example.com","(579) 537-0780","97 Main St","Chicago","IL","66814","USA","Part-Time","4721.92",False,"1995-08-16","Contact 97","(455) 600-5480","Advisor 8",2025,"2025-08-20 00:13:10.943657"
98,"Student 98","2025-02-24","Biology","1.17","student98@example.com","(203) 811-1545","98 Main St","Houston","TX","03481","USA","On-Leave","15045.52",False,"1995-05-18","Contact 98","(649) 107-1768","Advisor 9",2026,"2025-08-20 00:13:10.943657"
99,"Student 99","2024-12-06","History","3.62","student99@example.com","(414) 713-0793","99 Main St","Phoenix","AZ","45360","USA","Full-Time","13814.22",False,"1995-05-23","Contact 99","(294) 281-6431","Advisor 10",2027,"2025-08-20 00:13:10.943657"
100,"Student 100","2025-08-16","Computer Science","3.28","student100@example.com","(671) 464-3700","100 Main St","New York","NY","59757","USA","Part-Time","4445.64",True,"1995-06-04","Contact 100","(577) 916-1049","Advisor 1",2024,"2025-08-20 00:13:10.943657"
101,"Student 101","2025-05-15","Mathematics","2.19","student101@example.com","(730) 230-4870","101 Main St","Los Angeles","CA","05802","USA","On-Leave","33191.33",False,"1995-05-07","Contact 101","(745) 952-9116","Advisor 2",2025,"2025-08-20 00:13:10.943657"
102,"Student 102","2025-03-18","Physics","2.34","student102@example.com","(520) 592-1965","102 Main St","Chicago","IL","39540","USA","Full-Time","41664.05",False,"1995-11-23","Contact 102","(506) 436-3531","Advisor 3",2026,"2025-08-20 00:13:10.943657"
103,"Student 103","2025-08-18","Biology","0.85","student103@example.com","(228) 561-0112","103 Main St","Houston","TX","13315","USA","Part-Time","32379.01",False,"1995-11-28","Contact 103","(127) 967-4589","Advisor 4",2027,"2025-08-20 00:13:10.943657"
104,"Student 104","2025-06-10","History","0.65","student104@example.com","(847) 267-5745","104 Main St","Phoenix","AZ","41639","USA","On-Leave","21888.54",False,"1995-06-29","Contact 104","(984) 505-0673","Advisor 5",2024,"2025-08-20 00:13:10.943657"
105,"Student 105","2025-02-06","Computer Science","3.68","student105@example.com","(469) 865-6772","105 Main St","New York","NY","16753","USA","Full-Time","9287.01",True,"1995-06-07","Contact 105","(512) 252-1961","Advisor 6",2025,"2025-08-20 00:13:10.943657"
106,"Student 106","2024-10-29","Mathematics","0.84","student106@example.com","(606) 169-5631","106 Main St","Los Angeles","CA","85549","USA","Part-Time","35118.82",False,"1995-08-12","Contact 106","(383) 951-2711","Advisor 7",2026,"2025-08-20 00:13:10.943657"
107,"Student 107","2025-05-29","Physics","2.54","student107@example.com","(502) 780-7260","107 Main St","Chicago","IL","41383","USA","On-Leave","22803.09",False,"1995-11-24","Contact 107","(787) 177-7158","Advisor 8",2027,"2025-08-20 00:13:10.943657"
108,"Student 108","2025-02-18","Biology","1.60","student108@example.com","(680) 159-0568","108 Main St","Houston","TX","42652","USA","Full-Time","41393.17",False,"1995-06-03","Contact 108","(247) 369-4128","Advisor 9",2024,"2025-08-20 00:13:10.943657"
109,"Student 109","2025-07-13","History","2.24","student109@example.com","(336) 204-8226","109 Main St","Phoenix","AZ","51253","USA","Part-Time","31440.15",False,"1995-01-13","Contact 109","(932) 121-4966","Advisor 10",2025,"2025-08-20 00:13:10.943657"
110,"Student 110","2025-03-30","Computer Science","1.44","student110@example.com","(352) 964-0167","110 Main St","New York","NY","96015","USA","On-Leave","47499.71",True,"1995-07-11","Contact 110","(512) 164-3724","Advisor 1",2026,"2025-08-20 00:13:10.943657"
111,"Student 111","2025-03-10","Mathematics","2.63","student111@example.com","(239) 657-0547","111 Main St","Los Angeles","CA","01439","USA","Full-Time","33771.82",False,"1995-11-11","Contact 111","(391) 628-6489","Advisor 2",2027,"2025-08-20 00:13:10.943657"
